airline_sentiment,text
1,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscars ladygaga think carrieunderwood agree
1,virginamerica ladygaga carrieunderwood entertaining
1,virginamerica flight way supposed take minutes ago website still shows time flight thanks
2,virginamerica ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood
1,virginamerica wish flew atlanta soon
1,virginamerica ladygaga carrieunderwood julie andrews hands
1,virginamerica flights leaving dallas la february th
0,virginamerica hi excited lga gt dal deal trying book since last week amp page never loads thx
2,virginamerica know need spotify stat guiltypleasures
2,virginamerica ladygaga carrieunderwood lady gaga amazing
1,virginamerica ladygaga carrieunderwood carrie
1,virginamerica new marketing song url let us know think
1,virginamerica ladygaga carrieunderwood julie andrews first lady gaga wow last night carrie meh
0,virginamerica called weeks ago adding flights elevate still shown help
1,virginamerica ladygaga carrieunderwood great go carrieunderwood
1,virginamerica ladygaga carrieunderwood sorry mary martin first
2,virginamerica ladygaga carrieunderwood love three really beat classics
1,virginamerica flight dal dca pm tried check could status please
0,virginamerica heyyyy guyyyys trying get hour someone call please
0,virginamerica hi virgin hold minutes earlier flights la nyc tonight earlier pm
2,virginamerica congrats winning travelzoo award best deals airline us url
0,virginamerica everything fine lost bag
1,virginamerica need change reservation virgin credit card need modify phone waive change fee online
1,virginamerica emailed customer service team let know need tracking number
1,virginamerica hi booked flight need add baggage
0,virginamerica airline awesome lax loft needs step game dirty tables floors url
2,virginamerica worried great ride new plane great crew airlines like
2,virginamerica awesome flew yall sat morning way correct bill
1,virginamerica watch best student films country feet cmfat feet url
1,virginamerica first time flying different rate policy media bags thanks
0,virginamerica going customer service anyway speak human asap thank
1,virginamerica happened doom
0,virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness
2,virginamerica applied member inflight crew team im interested flightattendant dreampath g
0,virginamerica best whenever begrudgingly use airline delayed late flight
0,virginamerica interesting flying cancelled flight next four flights planned neverflyvirginforbusiness
0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin
0,virginamerica trouble adding flight wife booked elevate account help url
1,virginamerica bring reservation online using flight booking problems code
1,virginamerica random q distribution elevate avatars bet kitty disproportionate share url
1,virginamerica lt flying va life happens trying change trip jperhi help va home page let
0,virginamerica site back
1,virginamerica rnp yeah know
1,virginamerica hi get points elevate account recent flight add flight points account
0,virginamerica like tv interesting video disappointed cancelled flightled flight flights went jfk saturday
0,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin
1,virginamerica flight redirected
0,virginamerica website btw new website great user experience time another redesign
0,virginamerica check add bag website working tried desktop mobile url
0,virginamerica let scanned passengers leave plane told someone remove bag st class bin uncomfortable
0,virginamerica phone number find call flight reservation
0,virginamerica anyone anything today website useless one answering phone
1,virginamerica trying add boy prince ressie sf thursday virginamerica lax url
0,virginamerica must traveler miss flight late flight check bag missed morning appointments lost business sfo lax
1,virginamerica check new music url
0,virginamerica direct flight fll gt sfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky
0,virginamerica late flight bag check lost business missed flight apt three people flight exp
2,virginamerica amazing customer service raeann sf best customerservice virginamerica flying
0,virginamerica called service line hung awesome sarcasm
0,virginamerica site tripping trying check getting plain text version reluctant enter card info
1,virginamerica scheduled sfo dal flight today changed th due weather looks like flight still
2,virginamerica getaway deals may one way lots cool cities url cheapflights farecompare
1,virginamerica getaway deals may one way lots cool cities url cheapflights farecompare
2,virginamerica getaway deals may one way lots cool cities url cheapflights farecompare
1,virginamerica getaway deals may one way lots cool cities url cheapflights farecompare
2,virginamerica great week
2,virginamerica come back phl already need take us horrible cold pleasecomeback url
0,virginamerica concerned fly plane needs delayed due tech stop
2,virginamerica best airline flown easy change reservation helpful representatives amp comfortable flying experience
2,virginamerica another rep kicked butt naelah represents team beautifully thank
2,virginamerica beautiful front end design right cool still book ticket b c back end secure
2,virginamerica love team running gate e las tonight waited delayed flight kept things entertaining
0,virginamerica use another browser amp brand reputation built tech response cross browser compatible website
0,virginamerica flight flight booking problems site totally folks problem
0,virginamerica like customer service min delay connecting passengers seems long va
2,virginamerica thanks outstanding nyc jfk crew moved mountains get home san francisco tonight
2,virginamerica absolute best team customer service ever every time fly delighted thank
1,virginamerica provide complimentary upgrades first class available seats
0,virginamerica need change flight thats scheduled hours min wait time phone im calling intern help
2,virginamerica completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue
1,virginamerica watch oscars jfk gt sfo flight
1,virginamerica flight cancelled flightled
0,virginamerica failing customers check process link tsa pre check
0,virginamerica fidifamilies us terrible airline gave us hotel hotline number said sorry
1,virginamerica flight number sfo cabo san lucas arrived yet
0,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame
0,virginamerica another delayed flight likingyoulessandless
0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
2,virginamerica rock making watch oscars flight redcarpet oscars oscars
1,virginamerica reallytallchris dropped track url
2,virginamerica always xoxo
0,virginamerica book seats flights buy even check creates much anxiety frustrated
0,virginamerica think paying extra bucks rt luggage might afford hiring extra hand sfo lame
2,virginamerica best customer service rep world irmafromdallas takes cake
1,virginamerica find us flt lax sooner midnight monday would great customer service
0,virginamerica please provide status flight cant imagine time web indicates dude weather dallas
2,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort
0,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
0,virginamerica question possible book seat infant giving option want seat
2,always together welcome rt virginamerica jessicajaymes welcome
2,virginamerica flight home dc sunset globe backtowinter back work refreshed url
0,virginamerica understand need dm give answer damaged luggage policy
0,virginamerica mean policy destroyed luggage
1,virginamerica special assistance travel alone w kids infant priority boarding
2,virginamerica thank checking tickets purchased customer happy
1,virginamerica website ever coming back online
1,virginamerica flight love field sfo definitely cancelled flightled monday february
1,virginamerica flight lga dfw time
1,virginamerica drivers license expired little month fly friday morning using expired license
0,virginamerica problems flight booking problems web site keeps giving error contact phone phone minute wait
0,virginamerica reschedule cancelled flightled flights online change button greyed
0,virginamerica rang wait minutes book ticket vendor fix site
0,virginamerica got flight told today checked email tomorrow unacceptable
0,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today
0,virginamerica pairings include red wine white offered redwineisbetter
0,virginamerica website
0,virginamerica site seems little wonked right may want look tried two browsers css url
0,virginamerica disappointed agent designated silver status check line dulles airport closed assist pasengers
1,virginamerica plans include austin dallas route topnews arab emirates url
0,virginamerica normal receive reply central baggage baggageissues smh
0,virginamerica logan airport waiting checkin flight checkin desk open
1,virginamerica jump dallas austin market dallas news url
1,virginamerica beats eps views takes southwestair va luv investor business daily url
1,virginamerica lister show monday
1,virginamerica begin dallas austin flights april ketr url
0,virginamerica congrats got business ewr sfo lax fuck united fl sfo ewr clincher
0,virginamerica applied weeks ago heard back flying week disappointed
1,virginamerica love know policy damaged luggage
2,virginamerica thank follow
0,virginamerica many apologies r worse airlines even respond cudtomers
0,virginamerica shame va making people spend money stranded cities airlines landing jfk reimburse
1,virginamerica ttinac dm
1,virginamerica please flights sjc choice fly southwest vegas
0,virginamerica bad say takes days via confirmation email inquired weeks claim weeks
0,virginamerica flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline
2,rt virginamerica met match got status another airline upgrade restr url url
2,virginamerica way fly elevate gold
1,virginamerica guys flights cmh
0,virginamerica lot apologies thrown customers see sad thanks nothing worst airline ever
0,virginamerica flight stuff wrong nothing worst flight ever
1,virginamerica issue finding missing item plane help find airport plane headed next
2,virginamerica match americanairlines status cool
1,virginamerica met match got status another airline upgrade url asarco es ar
0,virginamerica trying book flight guys website let lose business
0,virginamerica suck
2,virginamerica thanks
0,virginamerica dm issue persisting
0,virginamerica never rec cancelled flightlation notice left w options fly ps driving la red eye mon w kids
0,virginamerica trying book flight amp site
0,virginamerica flights flying boston tomorrow need home cancelled flightled flight anything
0,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
2,virginamerica love guy song dancing high school dance revue
0,virginamerica website trying check
2,virginamerica done thank quick response apparently faster sitting hold
1,virginamerica nervous flight dc lax getting cancelled flightled tomorrow sent dm help
2,virginamerica cool picture another virginamerica plane wing site url
2,virginamerica keep great work
2,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny
2,virginamerica thanks great flight la boston pilots great job landing snow go back la seriously
1,virginamerica please get new york area monday afternoon
2,virginamerica thanks much awesome support guys rock
0,virginamerica seats row recline mention website soreback
0,virginamerica flight delayed hours la due mechanical problems handle like pros could tossed us free drink
0,virginamerica cancelled flight flights today precipitation scared
2,virginamerica twitter team guys killed rescheduling asap thank
0,virginamerica guys charged reschedule flight cancelled flighted refusing refund deal
0,virginamerica access website safari iphone seems work mac ipad need iphone add passbook
1,virginamerica ipad iphone clicking checkin link email received hrs flight
0,virginamerica mobile site broken shows header elevateuser numofpointsavailable number points let checkin
0,virginamerica really looking forward flight let know rescheduled diehardvirgin
0,virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightled gon na email call reschedule
0,virginamerica problem link email check thanks
0,virginamerica change another airline get dc today united able land dc cost ugh
0,virginamerica looking forward first flight today cancelled flightled along subsequent one
2,virginamerica putting great deals pdx las las pdx show love url
2,virginamerica wish afford fly next friday going back home love everything airline
0,virginamerica gon na deal dallas dc deal dc dallas sad
1,virginamerica bug report guys
0,virginamerica hold times call center bit much
2,virginamerica like url
0,virginamerica site help
2,virginamerica best flight attendant ever url
2,awesome rt virginamerica watch nominated films feet meetthefleet oscars url
2,virginamerica thanks much
0,virginamerica trying reset password email never arrives help
2,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompany url
2,virginamerica nicely done
2,virginamerica looking forward watching oscars flight home tomorrow might even get something bubbly drink
0,virginamerica reason delay departure vx jfk afternoon
0,virginamerica todays flight palm springs ca jfk ny cancelled flightled
2,virginamerica hahaha virginamerica guys amazing love guys
2,virginamerica sounds like fun
1,virginamerica updates flight jfk gt lax
1,virginamerica spruce moose
0,virginamerica css site right please fix site unusable
0,virginamerica flight vegas boston today checked online bag count register fix somehow
2,virginamerica classiq luv virgin america greetingz
0,virginamerica hi trying check website working tried different browsers problem continues
2,virginamerica thanks great customer service today amp helping get travel sorted
2,virginamerica thanks guys sweet route rockies airplanemodewason
2,virginamerica love music blasting gate boston waiting flight sanfrancisco could get iced coffee
0,virginamerica passenger flt assaulted flown trust banned crew filed report faanews
0,virginamerica current bug website shows select departure city selecting destination city url
0,virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help
2,virginamerica thank easy itinerary shift impending weather quick painless amp free
1,virginamerica love see girls inspired become pilots rt free woaw event march abq url
2,virginamerica thanks good times back vodkatonics entire flight sfo
1,virginamerica beats expectations shares take santa cruz sentinel url
1,virginamerica plans start flying direct dal las
1,virginamerica big love gratitude mpower w url werin oscars vipswagbags avalonhollywood url
2,virginamerica great job adding little luxuries aesthetics improve air travel experience thank keep
0,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member
1,virginamerica grand budapest hotel oscarscountdown
1,virginamerica missed newsvp next trip
0,virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience
0,virginamerica something wrong website safari iphone
2,virginamerica thanks gate checking baggage full flight dfw lax giving early boarding sweet
0,virginamerica already checked page expired x
0,virginamerica boo refunding seat upgrade fee want buy first place
1,virginamerica shares rise q financial results usa today url
1,virginamerica adds pillows instead lie flat seats first class arms race url
2,virginamerica see
1,virginamerica way take advantage mayweatherpacquiao
1,virginamerica know flying virgin fight mayweatherpacquiao
2,virginamerica inflight team makes experience amazing
2,virginamerica cutest salt pepper shaker ever think guys get better url
0,virginamerica moved seat notice better seat cabin select behind row selected disappointed
1,virginamerica shares q results iol url
2,virginamerica fav airline
2,virginamerica hot female pilot sweet dca sfo
1,guys going start flying paris virginamerica lizautter welcome
1,virginamerica policy flying surgery still waiting answer tell doctor
0,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help
2,virginamerica thank
0,virginamerica anything going website getting lot errors past minutes
1,virginamerica think left something plane yesterday call ah
1,virginamerica need follow back order dm
1,virginamerica need start flying kciairport
1,virginamerica told check airline regulation first contacted
0,virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefits
0,virginamerica husband ordered three drinks via screen never came awesome
0,virginamerica soooo guys going leave seatbelt light flight barely call turbulence
1,virginamerica policy flying surgery
1,virginamerica posts second consecutive full year net profit atwonline url
0,virginamerica funny story website broken missing javascript stylesheets checkin process dislike
2,virginamerica would love virgin like gopro
1,virginamerica results handily exceed forecasts nytimes url
1,virginamerica applied position flylaxairport wondering guys received application
1,virginamerica achieves second year profitability despite revenue pressure capa aviation url
1,virginamerica gives positive outlook sees increased competition reuters url
0,virginamerica trying check ct flight tmm desktop website working sort caching bug sos
1,virginamerica weather delays gt next weeks jfk bos dca
1,virginamerica madbee check website go airport
0,virginamerica guys know check links emails broken url
1,virginamerica pilot says expect choppy landing nyc due gusty winds w temperature degrees amp w windchill
2,virginamerica loved wait monday return flight mostly watch inflight safety video sorrynotsorry
0,virginamerica lost luggage days ago flight vx lax iad amp calling every day response please give back stuff
0,virginamerica flight booking problems section website seems broken chrome might wan na look
2,virginamerica hi wanted see new routes planned year newark love flying guys hope
2,virginamerica mean probably inappropriate board
2,virginamerica happy spend day together let
1,virginamerica saving sanity right url
1,virginamerica missed flight standby work
2,virginamerica understanding helped thx comps
1,virginamerica brought way across country today see url
2,virginamerica thank absolutely
0,virginamerica looks like broken link assets url
1,virginamerica ready let say together noooo turbulence today
0,virginamerica manage itinerary section website seems broken url
0,virginamerica check site looks like every time loads url
1,virginamerica u help freyabevan fund needs urgent treatment old battling cancer could u help flights freyasfund
1,virginamerica may start service hawaii sanfrancisco year url biztravel
0,virginamerica carriers less half price round trip fare stunned url
0,virginamerica wtf happening pdx late flight march one way sfo
1,virginamerica add dtw sold
2,virginamerica free drinks flight back free promo
2,virginamerica ssal thanks
1,virginamerica momma made
1,virginamerica please contact portfolio left flight vx jfk sfo tonite seat need returned call
1,virginamerica help flight jkf tonight seat c left portfolio need back
1,virginamerica shrinerack seattle bound wifey got duffle vday keeper holla url
0,virginamerica luggage gone filed paperwork promised call email still resolution response central luggage
1,virginamerica debbie baldwin gave rockstar performance safety demo evening vx las sfo bestcrew sherocks
2,virginamerica thanks
2,virginamerica thanks taking care suuperg flight rockstars travel
2,virginamerica thanks lovely soft views travel san sfo url
0,virginamerica requested mileage challenge status several weeks ago online heard back get help
0,virginamerica trying book tickets nyc facing super fun broken styling worry keep trying
1,virginamerica many thanks follow ourprincess freyasfund usa bandie looking help url
1,virginamerica nice lofty view flylaxairport silverstatus url
0,virginamerica applied status match feb got confirmation email day still news though guys dropped ball late flightly
1,virginamerica new go airline
1,virginamerica virginatlantic gma americanair help ourprincess need help usa url
2,virginamerica adore looking forward flight austin two weeks
2,virginamerica glad mentioned took first virgin flight years back transformative experience
1,virginamerica flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica
0,virginamerica trying check looks like site
0,virginamerica spending birthday night dal dca get home
0,virginamerica sent couple messages email provided avail try next year cheers
2,virginamerica first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
0,virginamerica seriously though direct flights sfo fll may
0,virginamerica fine already done purchase try go way go back
0,virginamerica really experience hoping ws forced check small carry w nothing empty cabin space board
0,virginamerica wjere luggage slow lax
1,virginamerica jump dallas austin market url
0,virginamerica spoke representative offered solution loyal customer flies virginatlantic well
0,virginamerica deeply disappointed birthday promo applied trip booked mere days received email
0,virginamerica happened direct flights sfo fll looking may see connecting help dontdothistome
1,virginamerica help left blazer kooples jacket bag rd row second seat right gate lax flight sfo
1,virginamerica partners visa checkout mobile payment method help boost mobile conversion rates etailwest payments visa
2,virginamerica promoting product problem southwest recommend noneother best url
2,virginamerica love guys pls get direct routes las aus
1,virginamerica would like help flights please
1,bruh virginamerica giannilee turn vxsafetydance
2,virginamerica course work virginatlantic obsessed entire virgin family
2,virginamerica ok first time flying tonight
1,virginamerica digging swanky pink mood lighting flight nyc sfo needs cabaret singer think
1,virginamerica done need receipt asap could please help
0,virginamerica embossed badges patches superior ones currently using url
0,virginamerica vx jfk la dirty plane standards
0,virginamerica flight vx headed la jfk dirtiest va plane ever sad great airline
2,virginamerica got squared away someone picked soon tweeted tweeted sooner
0,virginamerica avis rental continue button work website book car tried times phone sucks
0,virginamerica delayed
0,virginamerica currently minute hold cust service need anything add lap child reservation
1,virginamerica adds pillows instead lie flat seats first class arms race url skift
2,virginamerica karinslee course fun celebrating thanks happy chinese new year
2,virginamerica flight booking problems last second flight next week sfo san chance want gift promo code since love guys
0,virginamerica comenity bank joke please change nothing constant problems bank
1,virginamerica dm u also add
2,virginamerica grandma ella th would lt bday greeting flight crew stewardess eastern airlines
2,virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
1,virginamerica anytime sugafly
2,virginamerica gave credit late flight flight yesterday great service wow moment unexpected gesture
1,virginamerica need receipt flight change send one
0,virginamerica submitted status match request back still heard flying monday look accelerate
2,virginamerica safety video url loved first cross country flight livewelltraveled sytycd
2,virginamerica look fat looks yummy
1,virginamerica ceo says southwest amp jetblue strayed low cost model url
1,virginamerica brilliant brisk boston cue vx url
1,virginamerica atlantic ploughs lone furrow middleeast url thenationaluae
1,virginamerica atlantic ploughs lone furrow middleeast url thenationaluae
1,virginamerica atlantic ploughs lone furrow middleeast url thenationaluae
2,virginamerica omg omg nonstop dallas austin virgin
2,virginamerica planes really pretty thought u know
1,virginamerica flying hawaii
0,virginamerica pulling hair trying book flight u site work iphone ipad computer help
2,virginamerica thank
0,virginamerica get help support ticket days incident thank
2,virginamerica good home texas moodlighting url
0,virginamerica even open laptop seat c paid premium let
0,virginamerica seat c even open laptop paid extra seat
1,virginamerica guys starting flights end month guess still road tripping feb
2,virginamerica thanks needing way make austin trips dca come
1,virginamerica announced new route austin w fares way url
1,virginamerica really sprint thought guys kewl
2,virginamerica cool never ur planes
1,virginamerica dollar lax las fares
2,virginamerica great well deserved
0,virginamerica fyi info virginamerica com email address say contact password reset emails exist emails bounce
0,virginamerica status match weeks gone news flt next week hope flt count towards requirement cust svc help
0,virginamerica website sucks donkey dicks thought know best
1,virginamerica still develop app favorite airline
0,virginamerica crap channels pay watch uk tv
2,virginamerica got set thanks
1,virginamerica channel year
1,virginamerica thing see passbook virgin mobile mexico integrate
2,virginamerica giants virgin america match made heaven
2,virginamerica thank goodness also see friday nwk gt sf boom
0,virginamerica come iphone app still using making waste paper
0,virginamerica back seat entertainment system accept credit cards apostrophe surname apostrophefail
0,virginamerica vx use lga slots instead today adding aus makes less likely
1,virginamerica helping step tinder game tindertips tinderchamp url
2,virginamerica luv ur people product thing u charge herbal tea black tea caffeine drinker
2,virginamerica thank see soon excited see expansion destinations spread wings
1,virginamerica announces new nonstop connecting austinairport amp dallaslovefield intro url url
1,virginamerica adds austin dallas love field route url url
0,virginamerica sad learn longer fly sfo gt phl hope returns
1,virginamerica tweet cancelled flight chng fee flight rebook one affiliates afiliates
2,virginamerica incredible customer service ever experienced refreshing
1,virginamerica see virginamerica come philadelphia phl
2,virginamerica dreaming really open route dallas austin mean houston might next
2,virginamerica omg finally
1,virginamerica start xweekly flights dallas dallaslovefield austin apr avgeek
1,virginamerica nice see expanding texas forget us sandiego would love see flights
0,virginamerica kinda sucked earphone jack work flight may want look future passengers
0,virginamerica poor experience first computer problem seat malfunction stuck missing meeting san diego
1,virginamerica battle southwestair dallaslovefield austinairport route url via usatoday
2,virginamerica thankyou dal aus route makes day
2,virginamerica awesome deals dal aus way url
1,virginamerica miss nerdbird san jose
2,virginamerica love taking southwestair backyard consumers win biz competes
2,virginamerica flying love austin excellent news
1,virginamerica make every vx plane nerdbird austin one getting nerd love
1,virginamerica please add frequency pdx portland
2,virginamerica congrats vx new route
0,virginamerica tried offered charge additional k new ticket stranded thurs st time last time
1,virginamerica americanair u help flights get old battling cancer needs treatment freyabevan fund
0,virginamerica never bad experience one took cake extortion carry items well
0,virginamerica spend hours worrying items carryon would broken stolen since carry plane lock bag
0,virginamerica group e told room bins got plane room least bags row
0,virginamerica thanks making flight lax jfk nightmare forcing check carry bag gate
0,virginamerica lots flights book site working phone waiting minutes
2,virginamerica flight artisanal cheese wine pairing
1,virginamerica virgin america fly direct seattle nyc boston
2,virginamerica classy
2,virginamerica sure lot jfk lhr flights go lot faster mph strong tailwind
2,virginamerica minus minutes elevate silver upgrade window opens freeneversucks
1,virginamerica save tomorrow
0,virginamerica taking years fly home dallas get shit together
1,virginamerica jezziegoldz club virgin bumping new york url
2,virginamerica jezziegoldz would rough trip luckily virginamerica flight weather
1,virginamerica thestarter
1,virginamerica please come minneapolis st paul
1,virginamerica yes fyi bff
2,virginamerica another perfect flight come planes sun visors stay carriers make raise
2,nice rt virginamerica man steel might faster wifi saying sciencebehindtheexperience url
2,virginamerica love dancing little richard cool beans
2,virginamerica use passbook still love though lt use email future
2,virginamerica thanks free birthday points right
1,virginamerica application ios looking saw virgin mexico lt
0,virginamerica man steel flies cities though frequency
2,virginamerica thanks much sharing added site url
1,virginamerica good point
1,virginamerica heard virgin mobile hotspot
1,virginamerica got cheese plate flights
1,virginamerica flights
2,virginamerica dad segway best part whole infographic
2,virginamerica plans short haul airline europe would defiantly fly guys
2,virginamerica wifi better seating
1,virginamerica come abc one network channels
0,virginamerica started flight scolding using overhead bin offered person seated next
2,virginamerica great return calls day ask myvxexperience
0,virginamerica airlines cancelled flighting flights bos helping customers get home virgin saying good luck
1,virginamerica dear virgin customer stranded sf days amp cost least accommodate
1,virginamerica use next airline commercial lol url
0,virginamerica grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin
0,virginamerica one travelers affected boston storm shocked virgin complete apathy toward customers
0,virginamerica umm reason someone different contact contact get definitive answer
0,virginamerica trying make change advance hours prior tried online earlier wanted change fees
2,virginamerica loyal driving nyc pa fly virgin since cut philly flights
1,virginamerica way change main cabin main cabin select flight without paying change fee penalty
2,virginamerica guys perfect always lt wervirgin
2,virginamerica thanks best customer service left industry
1,virginamerica give silver status months
2,virginamerica really wish fly fargo fargoairport fares amazings
0,virginamerica mood lighting point reclining seat kickin feet
0,virginamerica flight scheduled pm departure still says time plane gate update long delay
0,virginamerica group got cancelled flightlation fees waived ticket booked reps help either
1,virginamerica sign bonuses enroll elevate
2,virginamerica got pm newark home la folks ewr incredible letsgohome
1,virginamerica morning question regarding elevate points amp flights dm
1,virginamerica still waiting see starryeyes dev
1,virginamerica wondering guys recieved dm able potentially respond asap
2,virginamerica flying lax sfo looking awesome movie lineup actually wish long haul
1,virginamerica book town fares way restr url url jenniferdawnpro
2,united thanks
2,united thanks taking care mr happy customer
0,united still refund word via dm please resolve issue cancelled flightled flight useless assistant trip
0,united delayed due lack crew delayed long line deicing still need improve service united
2,united thanks filled luck common
0,united eri ord express connections hugely popular could eri ewr hop
1,united even international flight glasgow u orlando newark mins
0,united think boarded flight au early think
1,united understand tough way get airport w serious risk accident steep price
0,united gate agent hooked alternate flights way prevent constant issues would rock
1,united flying gla mco weeks long airport departure international domestic ta
2,united thanks
2,united thanks ticket
1,united law policy
0,united worst nonrefundable first class tickets oh select global fc system auto selects economy w upgrade
0,united cheertymedad buy tix days flight transfer tix flawed security logic flawed customer service
0,united start claim weeks unrealistic really supposed go long car seat child ridiculous
2,united follow please airline beautifull
1,united sure united info system
0,united car seat lost united reimburse new one pair shoes necessity child
1,united submitted response link sent
1,united yes david allan send email number kmm v l km case
0,united highbuddyyy totally sucks cousin worked phl said united
2,united wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated
1,united yes paper voucher got january th
0,united beginning feb called united said would send another voucher mail never got anything tiredofwaiting
0,united internet great thing emailing executives company maybe respond timely manner
1,united need use chase united club pass yr old son come pass
1,united suppose number
0,united thats weak see ya hey virginamerica
0,united flew back w company since united didnt earlier flight
1,united lost voucher given miami aeroport jan use
0,united trying book awards september need flights aegeanairlines show even w many award seats availab
0,united sure drive total hours get bag like explain debacle one wants talk
1,united cheertymedad gee like almost caring ppl think int trusted adult w daughter
0,united see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
0,united preferred security line anymore tsa pre check pull silverairways partner flight platinum spoiled
0,united newarkliberty airport need indicate different gate terminals amp c flyingainteasy
0,united yes please newly married trying update last name preexisting international flight seems easy
0,united united refuse reissue lost voucher plane take due mechanics badcustomerservice
0,united also run instructed shattered computer url
0,united yes agents last minutes one agents rude thankfully ladan nice
1,united right overnight miami
1,united clients hr layover iah day claim amp recheck luggage taken care
1,united trying find loaner seat new used used car seat illegal according safety regulations
1,united dmed details
0,united iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer
1,united kewl also let know overhead bin row inop love good abbreve
2,united thanks help got need issue austrian guess sit awhile longer
0,united uctraveladvisor would loved respond website saw really long form business new seats bad
0,united refund flight vouchers another flight different airline expense today hour drive inconvenient
0,united received call back days infant car seat supposed go anywhere child
1,united thanks concern contact customer care upon return australia
0,united well sitting ground time waiting gate tiredofthis
2,united airport snow removal method keep good work folks cessna become url
0,united need guys book planes concern travel someone else moving forward
0,united measly e certificate appreciate loyal customers wait hrs tarmac ua unacceptable
0,united email address username sign available
2,united thank able claim interim expenses cost stuff
0,united rude rude
0,united get boarding pass austrian airlines codeshare flight rebook incls hour layover amp stuck outside sec
0,united received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback
0,united flew telaviv paid third suitcase even make plane besides impolite service
